"Country","Diarrhoea","GDP_per_Person"
"Afghanistan",69.5508502700227,984.805841434435
"Albania",0.26044492674986,6365.53035936449
"Algeria",5.16194048652129,6162.71983982498
"Angola",52.4019160524976,5488.45774780583
"Argentina",0.12042039776453,13457.9487462775
"Armenia",0.3821169277799,5346.9806575419
"Australia",0.01870711394129,34444.3330639544
"Austria",0.013182177695755,36700.3072450903
"Azerbaijan",4.16993542936455,8330.51262498759
"Bahamas",0.17711654268509,22560.0774446243
"Bahrain",0.071551230681168,31538.9359959238
"Bangladesh",5.35348607874931,1470.33214791842
"Barbados",0,16959.9006892376
"Belarus",0.051918384299881,11533.7399896272
"Belgium",0.06725628005515,33506.6017580775
"Belize",1.34498991257566,7297.02262590738
"Benin",14.5309199014496,1447.6369264305
"Bhutan",10.9182151091822,4579.65710375918
"Bolivia",7.87713196288996,3956.39668706737
"Bosnia and Herzegovina",0.174611489436,7739.97652360728
"Botswana",2.0755236461444,13240.0610624653
"Brazil",1.11889030816829,9681.54835486593
"Brunei",0.12861736334405,46525.232469598
"Bulgaria",0.19259605728357,11426.8799052783
"Burkina Faso",30.1336870203167,1220.95336872295
"Burundi",37.1618213003935,457.404497558135
"Cambodia",5.87600332133961,1797.20037839448
"Cameroon",20.0756225799993,2020.09822964906
"Canada",0.002832018804605,35978.2095484015
"Cape Verde",2.2432701894317,3444.57053913748
"Central African Rep.",28.00854806337,711.440652945228
"Chad",42.1925690519613,1656.47627304093
"Chile",0.023883543840235,13653.2996248994
"China",0.5730755412495,6481.59866430443
"Colombia",0.80459982862786,7186.0910111867
"Comoros",20.3748601268184,1026.02534523246
"Congo, Dem. Rep.",33.993690370799,359.658528305841
"Congo, Rep.",17.1939477303989,3668.40677919881
"Costa Rica",0.13256270215812,9831.54755185184
"Cote d'Ivoire",13.7254630335102,1509.22750818159
"Croatia",0.023713540431586,14918.4507352992
"Cuba",0.085100588896075,9259.94522002074
"Cyprus",0,25900.624193734
"Czech Rep.",0.045832875004583,23294.8763238796
"Denmark",0.016043896099729,34629.1011975181
"Djibouti",16.7066413034488,2105.68582245068
"Dominican Rep.",2.93070684902176,6195.69108185505
"Ecuador",1.38157449641966,7091.73586355785
"Egypt",1.06496748276127,5762.2594433321
"El Salvador",0.65950328143096,5827.17660993382
"Equatorial Guinea",12.128949888286,15059.5907096556
"Eritrea",11.9366746500846,562.014933000928
"Estonia",0,18983.7765250644
"Ethiopia",22.9362870139569,765.941212073413
"Fiji",0.96170164620694,4185.99726160958
"Finland",0,33162.4027330664
"France",0.029265515379028,30459.7213215217
"Gabon",4.19774939941838,12453.3906250536
"Gambia",13.6997512112086,739.335423557237
"Georgia",1.62916395139341,4345.65577490643
"Germany",0.010512057329757,33157.2439621593
"Ghana",6.43476996490486,1391.187032899
"Greece",0,27256.4673706908
"Grenada",0,9298.8476250119
"Guatemala",6.48828485713402,5261.71061883662
"Guinea",18.3593381458598,970.901874681017
"Guinea-Bissau",34.7321607189573,582.437533438509
"Guyana",8.66245778887094,3669.78460650045
"Haiti",13.8953965093124,1191.83611868498
"Honduras",2.92741499332649,3620.99921333898
"Hungary",0.020284387107244,17922.2716764316
"Iceland",0,37921.9535050198
"India",7.55052179178996,2605.77092476447
"Indonesia",6.08192301002105,3686.60305387481
"Iran",3.1434077076184,11679.1893016507
"Iraq",4.8831642056649,3496.68419227387
"Ireland",0,38163.91179621
"Israel",0,26036.3923440958
"Italy",0.001831837332845,27950.9520435783
"Jamaica",4.40839694656489,7274.02173559466
"Japan",0.0435249397905,31079.6707954382
"Jordan",0.75838203335606,5037.16615728507
"Kazakhstan",0.68361236549598,10477.1827452162
"Kenya",25.1835289337729,1436.09866877488
"Korea, Dem. Rep.",6.33901827740082,1584.55230565388
"Korea, Rep.",0.011070151550375,23735.7702933565
"Kuwait",0.038737918611633,45620.5963949171
"Kyrgyzstan",5.33838900391648,2018.20054907352
"Laos",4.19311904453422,2185.00672943914
"Latvia",0.086471529248995,15987.0100149469
"Lebanon",0.31848582738068,12016.9832476878
"Lesotho",6.87482096820395,1625.46860323032
"Liberia",23.0549730119985,437.713601161059
"Libya",0.60642400621414,11787.4844297538
"Lithuania",0,17445.1557543887
"Luxembourg",0,73998.7104751099
"Macedonia, FYR",0.40462167873039,8601.9909002895
"Madagascar",22.6385772531627,1089.08820974261
"Malawi",9.90060970516997,769.4260960504
"Malaysia",0.063563208162242,12969.6741467774
"Maldives",2.2707423580786,5654.0258050368
"Mali",34.199317783719,1078.48845139799
"Malta",0,22214.5263028362
"Mauritania",17.0059835868176,1822.58284007474
"Mauritius",0.27636524430688,11617.6084152851
"Mexico",0.95185098406748,11870.9570323346
"Micronesia, Fed. Sts.",1.79340028694405,5330.06601704576
"Moldova",0.37835792659856,2769.37034345943
"Mongolia",1.85341875176276,3300.27451367588
"Montenegro",0,9809.7045983702
"Morocco",4.2725589410489,4011.37704345564
"Mozambique",14.1163880392334,872.109691194885
"Myanmar",14.2168986625504,1445.05661058846
"Namibia",2.51953490747519,5025.94060935855
"Nepal",6.931490038033,1138.86976511345
"Netherlands",0,37692.2980578829
"New Zealand",0.017164140677297,25160.5345750121
"Nicaragua",2.45052511252411,2904.07317946706
"Niger",30.5578815023564,643.805349299792
"Nigeria",31.88134931609,2100.10575071392
"Norway",0.10332535431986,48321.9058439174
"Oman",0.21183333604915,24358.5450044704
"Pakistan",12.5204916458541,2660.74984002263
"Panama",1.29734969989878,10674.4244869141
"Papua New Guinea",3.14155357073812,1904.76281601853
"Paraguay",2.37497234621241,4318.76231813703
"Peru",1.08054671065488,7912.55775926635
"Philippines",2.17013947126779,3228.11859624304
"Poland",0.016118892954432,16210.6003726298
"Portugal",0,20601.2286182922
"Qatar",0.13352026169971,73806.5681349922
"Romania",0.14980922731209,11590.7804628416
"Russia",0.11841908579172,14756.2168715368
"Rwanda",22.4412975457002,1001.28001142359
"Saint Lucia",0,10626.2415661953
"Saint Vincent and the Grenadines",0.52164840897235,7264.52969676163
"Samoa",1.89933523266857,5220.46188785014
"Sao Tome and Principe",13.6027982899339,1746.87152047107
"Saudi Arabia",1.01079707359856,23293.7748532448
"Senegal",14.9226751505665,1723.33796731707
"Serbia",0.026196983853926,9877.97205855904
"Sierra Leone",38.9787295058094,861.047791368196
"Singapore",0,44103.9681300732
"Slovak Republic",0.018198030973049,20044.241683273
"Slovenia",0,26755.7402528574
"Solomon Islands",1.34961439588689,1892.28908676618
"Somalia",39.5504663039437,942.286156914339
"South Africa",5.66914097899202,9385.98429139242
"Spain",0,28204.1788697614
"Sri Lanka",0.55269630979449,4142.53174537974
"Sudan",10.7024825592745,2535.41404842076
"Suriname",1.43237159811745,8075.17601107188
"Swaziland",6.76369863013699,5121.00236505638
"Sweden",0.027960817574306,33563.3383888872
"Switzerland",0,38181.484831268
"Syria",0.76073715260658,4373.58162307192
"Tajikistan",11.6628205460627,1650.42895299145
"Tanzania",10.830581701313,1149.13887173643
"Thailand",0.27231136039999,7652.23167390354
"Togo",10.4488345530691,897.758461395814
"Tonga",1.39811254806012,4752.19906970046
"Trinidad and Tobago",0,18620.5047789313
"Tunisia",1.02083231453861,7361.40337456853
"Turkey",0.28855618797247,8456.75389653093
"Turkmenistan",6.00901804512637,5726.43628207836
"Uganda",20.2485888349948,1150.60180988239
"Ukraine",0.098095422867569,6730.01074147509
"United Arab Emirates",0.063932487293418,35246.6937703782
"United Kingdom",0.005383630801367,32623.5160500435
"United States",0.007274539294333,42226.580034574
"Uruguay",0.31773770752244,10920.6417529365
"Uzbekistan",4.50575826146049,2428.749951047
"Vanuatu",2.12284177752618,3945.41216428879
"Venezuela",1.27145900338332,11862.3220001628
"Vietnam",0.31531486297862,2577.73250955309
"Yemen, Rep.",13.0745303797513,2295.80616983779
"Zambia",20.0362049005656,1302.85927025632
"Zimbabwe",8.36122172329069,408.134473316796
