"Country","Infections","Energy_Consumption_per_Person"
"Albania",2.14867064568638,0.65565127521023
"Algeria",4.26196008174006,1.08761925022252
"Angola",33.1315256813593,0.657618232301606
"Argentina",1.30576334925397,1.93017265469479
"Armenia",1.74075489321955,0.973201146963369
"Australia",0.4714192713205,5.77881731283578
"Austria",0.3822831531769,4.02380085897368
"Azerbaijan",3.85613421036751,1.5154813200356
"Bahrain",1.28792215226102,8.78470750000713
"Bangladesh",3.88565117022949,0.191053023028177
"Belarus",0.76839208763823,2.93119579254322
"Belgium",0.49601506540673,5.46958157597596
"Benin",11.2829696214236,0.392489450668862
"Bolivia",5.87169788344889,0.617864844560453
"Bosnia and Herzegovina",1.33868808567604,1.5775687013071
"Botswana",2.5414575258911,1.10067208165245
"Brazil",4.04430213001415,1.29654122948752
"Brunei",0.51446945337621,9.43350966349966
"Bulgaria",1.19684692740504,2.59611957664531
"Cambodia",15.3362856352062,0.254186246856969
"Cameroon",14.978268802349,0.340917516055683
"Canada",0.74765296441568,7.94584649320339
"Chile",0.76427340288752,1.80463244137912
"China",0.76294265908264,1.57483130701956
"Colombia",1.62117610937332,0.648981524196158
"Congo, Dem. Rep.",20.0224180675071,0.355988687361025
"Congo, Rep.",12.5715748056684,0.328359146571771
"Costa Rica",0.49048199798505,1.01446090377
"Cote d'Ivoire",8.62343635280591,0.541320704205776
"Croatia",0.3557031064738,2.04319418132612
"Cuba",0.42550294448038,0.932904821687944
"Cyprus",0.30238887208951,2.40126239437104
"Denmark",0.30483402589485,3.4950989520391
"Ecuador",3.43613244599219,0.784493844234154
"Egypt",1.72747055335135,0.917523723273246
"El Salvador",2.51737228155964,0.733985161905421
"Eritrea",8.72865900551515,0.13688552307307
"Estonia",0.37655328228944,4.05787234042553
"Ethiopia",9.68352036313201,0.395909373838486
"Finland",0.16946280291476,6.63882253149067
"France",0.45494573907399,4.11362153930258
"Gabon",2.12416234669364,1.37170880708262
"Georgia",2.54916241806264,0.685393389146155
"Germany",0.44601157527684,4.06895399234518
"Ghana",4.44141887470837,0.385049356572956
"Greece",0.084356547005343,2.7069802922357
"Guatemala",3.89031992966054,0.595795468008332
"Haiti",3.92409511538011,0.284842587537072
"Honduras",3.24000337396982,0.636409173431021
"Hungary",0.61867380677093,2.63577998339939
"Iceland",0.43261951113995,16.8684683095264
"India",3.12267281173798,0.525737714602009
"Indonesia",5.35865192887297,0.795563970713674
"Iran",2.91784910778242,2.81920322057108
"Iraq",1.99669512530983,0.942801998204537
"Ireland",0.26048827079203,3.37930506997451
"Israel",0.39316043805221,3.13097526269702
"Italy",0.4084997252244,2.94163598821965
"Jamaica",5.22900763358779,1.58665972015481
"Japan",0.29403514880693,3.87890711210076
"Jordan",1.54862885802961,1.22152652496976
"Kazakhstan",3.03352987188841,4.47904226611218
"Kenya",17.0888706248813,0.461009577376067
"Kuwait",1.22024443626644,10.9350650675672
"Latvia",0.77824376324095,1.97895850745821
"Lebanon",0.97062347392208,1.30190752631143
"Libya",1.51265313909595,3.97938571814193
"Lithuania",0.35014005602241,2.80839548377587
"Luxembourg",0.55025678650037,8.6097963777755
"Macedonia, FYR",1.39369689340467,1.4668213380209
"Malaysia",0.5121378486215,2.65458089460231
"Malta",1.08695652173913,2.03077315208156
"Mexico",1.76068025616995,1.63692824866747
"Moldova",0.35610157797512,0.798450858755774
"Mongolia",7.59498771102784,1.18311481199067
"Montenegro",0.65936964262165,1.31137423810167
"Morocco",2.80763739247058,0.478550723684498
"Mozambique",10.7724024784968,0.420605250549638
"Myanmar",9.58907602417177,0.318153625007579
"Namibia",1.95774671864626,0.738270658991775
"Nepal",2.8876653096143,0.332069300093083
"Netherlands",0.29177518181916,4.8371668932826
"New Zealand",0.34328281354594,4.07914216777156
"Nicaragua",3.32928484675288,0.540914089187318
"Nigeria",16.2253502995149,0.738125378611314
"Norway",0.46496409443937,6.25002516666625
"Oman",0.8310384721928,6.02556956620172
"Pakistan",4.97907880015687,0.487399250194058
"Panama",3.53563434697689,0.914719768488769
"Paraguay",2.98660906003149,0.697873694151848
"Peru",2.83438240515247,0.528553397356276
"Philippines",4.11306730786863,0.44369547787396
"Poland",0.59371255715491,2.56761348672429
"Portugal",0.27715921363241,2.29987941534565
"Qatar",0.73436143934842,15.3104307837772
"Romania",0.25748460944266,1.83841897937967
"Russia",0.32743200770824,4.85017759070095
"Saudi Arabia",1.92169962903578,5.88824579266753
"Senegal",12.240974514274,0.261036726264755
"Serbia",0.75971253176384,2.29464324950229
"Singapore",0.21514051364798,4.92368992023805
"Slovak Republic",0.60053502211061,3.38548847284795
"Slovenia",0.30811893390849,3.82902574362445
"South Africa",2.94406820195593,3.02759624111825
"Spain",0.48648725668004,3.05189880014179
"Sri Lanka",1.49392170865243,0.442296285304447
"Sudan",8.44624182363512,0.36427407931
"Sweden",0.19572572302014,5.3799591025113
"Switzerland",0.34451395970565,3.50133367330594
"Syria",1.91285578016221,1.17385156038036
"Tajikistan",9.88409780382192,0.369288802250525
"Tanzania",8.45502330677954,0.448657102366213
"Thailand",0.80976799276839,1.57695718909635
"Togo",6.55696095435509,0.443614905527021
"Trinidad and Tobago",0.65712985896982,14.5308255198942
"Tunisia",1.9194092620666,0.912673953663991
"Turkey",1.4153347214691,1.38884019495309
"Turkmenistan",7.21985777151274,4.4937471484606
"Ukraine",1.07904965154326,2.94314450194776
"United Arab Emirates",0.41556116740722,9.39784694511008
"United Kingdom",0.62988480375993,3.39436448025191
"United States",0.86180557702555,7.48793030309585
"Uruguay",1.60854714433235,1.24567553235522
"Uzbekistan",4.5780528184033,1.84971962479901
"Venezuela",1.11273547470866,2.51181449794165
"Vietnam",0.94259729739681,0.575456290537262
"Zambia",16.7622790653089,0.617251413049133
"Zimbabwe",5.64739896636448,0.744783277060522
