"Country","Infections","Energy_Production_per_Person"
"Albania",2.14867064568638,0.000362527216817
"Algeria",4.26196008174006,0.004706747653394
"Angola",33.1315256813593,0.005864105117407
"Argentina",1.30576334925397,0.002086386721477
"Armenia",1.74075489321955,0.000258865371456
"Australia",0.4714192713205,0.013992916970522
"Austria",0.3822831531769,0.001345537165453
"Azerbaijan",3.85613421036751,0.006555938660047
"Bahrain",1.28792215226102,0.016622412123619
"Bangladesh",3.88565117022949,0.000160813647121
"Belarus",0.76839208763823,0.000416531156354
"Belgium",0.49601506540673,0.001371882087879
"Benin",11.2829696214236,0.0002321532603
"Bolivia",5.87169788344889,0.001680905978147
"Bosnia and Herzegovina",1.33868808567604,0.001152223909719
"Botswana",2.5414575258911,0.000530446761905
"Brazil",4.04430213001415,0.001191397585079
"Brunei",0.51446945337621,0.054917269525208
"Bulgaria",1.19684692740504,0.001349447171389
"Cambodia",15.3362856352062,0.000261025965799
"Cameroon",14.978268802349,0.000495881874608
"Canada",0.74765296441568,0.012184057353176
"Chile",0.76427340288752,0.000539191798706
"China",0.76294265908264,0.001497995339858
"Colombia",1.62117610937332,0.002079636278734
"Congo, Dem. Rep.",20.0224180675071,0.000362710778845
"Congo, Rep.",12.5715748056684,0.003452943548524
"Costa Rica",0.49048199798505,0.00059047319357
"Cote d'Ivoire",8.62343635280591,0.000601209079451
"Croatia",0.3557031064738,0.000895155630324
"Cuba",0.42550294448038,0.000505826222907
"Cyprus",0.30238887208951,7.6948860772e-05
"Czech Rep.",0.40332930004033,0.00316256053202
"Denmark",0.30483402589485,0.004842909407361
"Dominican Rep.",3.47491725325411,0.000194718171272
"Ecuador",3.43613244599219,0.002030823789869
"Egypt",1.72747055335135,0.00111700021876
"El Salvador",2.51737228155964,0.000507348406787
"Eritrea",8.72865900551515,0.000110275630968
"Estonia",0.37655328228944,0.003148217964527
"Ethiopia",9.68352036313201,0.000372341011368
"Finland",0.16946280291476,0.003105915655412
"France",0.45494573907399,0.002210556443689
"Gabon",2.12416234669364,0.009315025063607
"Georgia",2.54916241806264,0.000245451884812
"Germany",0.44601157527684,0.001619068047682
"Ghana",4.44141887470837,0.000294805842253
"Greece",0.084356547005343,0.000873416894214
"Guatemala",3.89031992966054,0.000393332961309
"Haiti",3.92409511538011,0.000204309384684
"Honduras",3.24000337396982,0.00028455476039
"Hungary",0.61867380677093,0.001047357353696
"Iceland",0.43261951113995,0.014018708194653
"India",3.12267281173798,0.000393236635946
"Indonesia",5.35865192887297,0.001378172511551
"Iran",2.91784910778242,0.004769087429561
"Iraq",1.99669512530983,0.003955705711546
"Ireland",0.26048827079203,0.000348353475618
"Israel",0.39316043805221,0.000549924820129
"Italy",0.4084997252244,0.000450335597824
"Jamaica",5.22900763358779,0.000181491110113
"Japan",0.29403514880693,0.000700872285069
"Jordan",1.54862885802961,4.7101087511e-05
"Kazakhstan",3.03352987188841,0.009084521867771
"Kenya",17.0888706248813,0.000393453557051
"Korea, Dem. Rep.",5.50155877498625,0.000862664643262
"Korea, Rep.",0.72398791139451,0.000937088488652
"Kuwait",1.22024443626644,0.060153133536157
"Kyrgyzstan",4.9891486017911,0.000228701232719
"Latvia",0.77824376324095,0.000787664923974
"Lebanon",0.97062347392208,3.9791068452e-05
"Libya",1.51265313909595,0.016349233123348
"Lithuania",0.35014005602241,0.001146803722485
"Luxembourg",0.55025678650037,0.000208005242604
"Macedonia, FYR",1.39369689340467,0.000791222416888
"Malaysia",0.5121378486215,0.003385857389031
"Malta",1.08695652173913,2.191107053e-06
"Mexico",1.76068025616995,0.00210930015033
"Moldova",0.35610157797512,2.7942875205e-05
"Mongolia",7.59498771102784,0.001914705447926
"Morocco",2.80763739247058,2.0217165532e-05
"Mozambique",10.7724024784968,0.000516198836694
"Myanmar",9.58907602417177,0.00048660132742
"Namibia",1.95774671864626,0.000147017253963
"Nepal",2.8876653096143,0.00029900930478
"Netherlands",0.29177518181916,0.004035977309457
"New Zealand",0.34328281354594,0.003503843907009
"Nicaragua",3.32928484675288,0.000300124548028
"Nigeria",16.2253502995149,0.001514915681224
"Norway",0.46496409443937,0.045823006642242
"Oman",0.8310384721928,0.024056725862289
"Pakistan",4.97907880015687,0.000377815318281
"Panama",3.53563434697689,0.000204879689839
"Paraguay",2.98660906003149,0.001208979843801
"Peru",2.83438240515247,0.00044437739523
"Philippines",4.11306730786863,0.000254834136361
"Poland",0.59371255715491,0.001867107969965
"Portugal",0.27715921363241,0.000421913277137
"Qatar",0.73436143934842,0.095367656117932
"Romania",0.25748460944266,0.001340226037197
"Russia",0.32743200770824,0.008758698749887
"Saudi Arabia",1.92169962903578,0.02213965133237
"Senegal",12.240974514274,0.000104380432782
"Serbia",0.75971253176384,0.001096556573482
"Singapore",0.21514051364798,6.775468671e-06
"Slovak Republic",0.60053502211061,0.001179875632753
"Slovenia",0.30811893390849,0.00181952677968
"South Africa",2.94406820195593,0.003284120660682
"Spain",0.48648725668004,0.000674164002695
"Sri Lanka",1.49392170865243,0.0002477254954
"Sudan",8.44624182363512,0.000823217208601
"Sweden",0.19572572302014,0.00359787664049
"Switzerland",0.34451395970565,0.001690749252232
"Syria",1.91285578016221,0.00120615809917
"Tajikistan",9.88409780382192,0.000222377296524
"Tanzania",8.45502330677954,0.000413324728805
"Thailand",0.80976799276839,0.000943237123957
"Togo",6.55696095435509,0.00037013074802
"Trinidad and Tobago",0.65712985896982,0.032103501021757
"Tunisia",1.9194092620666,0.000736968038
"Turkey",1.4153347214691,0.000408588874274
"Turkmenistan",7.21985777151274,0.013909086417604
"Ukraine",1.07904965154326,0.001767466086839
"United Arab Emirates",0.41556116740722,0.030131013757401
"United Kingdom",0.62988480375993,0.002722567883522
"United States",0.86180557702555,0.005579862997973
"Uruguay",1.60854714433235,0.000413863316644
"Uzbekistan",4.5780528184033,0.002313162208795
"Venezuela",1.11273547470866,0.007412662147017
"Vietnam",0.94259729739681,0.000830691957149
"Yemen, Rep.",3.70636158246861,0.000674913790608
"Zambia",16.7622790653089,0.00056819834095
"Zimbabwe",5.64739896636448,0.000685276997397
