"Country","Meningitis","Energy_Production_per_Person"
"Albania",0.15192620727075,0.000362527216817
"Algeria",0.44369173921563,0.004706747653394
"Angola",3.47045396381422,0.005864105117407
"Argentina",0.12042039776453,0.002086386721477
"Armenia",1.37986668364964,0.000258865371456
"Australia",0.044897073459095,0.013992916970522
"Austria",0.092275243870287,0.001345537165453
"Azerbaijan",1.03795787822099,0.006555938660047
"Bahrain",0,0.016622412123619
"Bangladesh",1.14067742592959,0.000160813647121
"Belarus",0.2595919214994,0.000416531156354
"Belgium",0.16814070013788,0.001371882087879
"Benin",2.94656390269024,0.0002321532603
"Bolivia",1.36613061578623,0.001680905978147
"Bosnia and Herzegovina",0.087305744718002,0.001152223909719
"Botswana",2.94385496749052,0.000530446761905
"Brazil",0.29888606965463,0.001191397585079
"Brunei",0.12861736334405,0.054917269525208
"Bulgaria",0.17883919604903,0.001349447171389
"Cambodia",3.19125380570163,0.000261025965799
"Cameroon",3.41480106831448,0.000495881874608
"Canada",0.042480282069073,0.012184057353176
"Chile",0.099514766000979,0.000539191798706
"China",0.41045046704388,0.001497995339858
"Colombia",0.2874348508224,0.002079636278734
"Congo, Dem. Rep.",3.67697886222244,0.000362710778845
"Congo, Rep.",2.44713860721026,0.003452943548524
"Costa Rica",0.06628135107906,0.00059047319357
"Cote d'Ivoire",2.66252926427196,0.000601209079451
"Croatia",0.023713540431586,0.000895155630324
"Cuba",0.085100588896075,0.000505826222907
"Cyprus",0,7.6948860772e-05
"Czech Rep.",0.073332600007333,0.00316256053202
"Denmark",0.016043896099729,0.004842909407361
"Dominican Rep.",0.34347705840894,0.000194718171272
"Ecuador",0.54835688775419,0.002030823789869
"Egypt",0.9146016173015,0.00111700021876
"El Salvador",0.804272294428,0.000507348406787
"Eritrea",1.04370371997978,0.000110275630968
"Estonia",0.062758880381574,0.003148217964527
"Ethiopia",2.19747889650802,0.000372341011368
"Finland",0.033892560582952,0.003105915655412
"France",0.046558774466636,0.002210556443689
"Gabon",1.84599822986471,0.009315025063607
"Georgia",0.49833250277916,0.000245451884812
"Germany",0.070580956356941,0.001619068047682
"Ghana",0.78517940820737,0.000294805842253
"Greece",0.018745899334521,0.000873416894214
"Guatemala",1.10899523264599,0.000393332961309
"Haiti",1.79366287923158,0.000204309384684
"Honduras",0.69960256620175,0.00028455476039
"Hungary",0.13184851619708,0.001047357353696
"Iceland",0.21630975556998,0.014018708194653
"India",1.11006485305417,0.000393236635946
"Indonesia",0.71829444526862,0.001378172511551
"Iran",0.32356489241647,0.004769087429561
"Iraq",1.03065483126073,0.003955705711546
"Ireland",0.14471570599557,0.000348353475618
"Israel",0.050038601206645,0.000549924820129
"Italy",0.036636746656897,0.000450335597824
"Jamaica",0.47709923664122,0.000181491110113
"Japan",0.012573871495033,0.000700872285069
"Jordan",0.28678312185733,4.7101087511e-05
"Kazakhstan",0.66717937594079,0.009084521867771
"Kenya",2.43908592035329,0.000393453557051
"Korea, Dem. Rep.",1.93777125741182,0.000862664643262
"Korea, Rep.",0.026568363720899,0.000937088488652
"Kuwait",0,0.060153133536157
"Kyrgyzstan",1.3470701224836,0.000228701232719
"Latvia",0.043235764624497,0.000787664923974
"Lebanon",0.37914979450081,3.9791068452e-05
"Libya",0.068137528788106,0.016349233123348
"Lithuania",0.12732365673542,0.001146803722485
"Luxembourg",0,0.000208005242604
"Macedonia, FYR",0,0.000791222416888
"Malaysia",0.023609191603119,0.003385857389031
"Malta",0.27173913043478,2.191107053e-06
"Mexico",0.062968603561387,0.00210930015033
"Moldova",0.28933253210478,2.7942875205e-05
"Mongolia",1.49079334380918,0.001914705447926
"Morocco",0.49346354170695,2.0217165532e-05
"Mozambique",2.95493776946694,0.000516198836694
"Myanmar",1.93291765633489,0.00048660132742
"Namibia",0.85119422549837,0.000147017253963
"Nepal",1.07279567820503,0.00029900930478
"Netherlands",0.07024217340091,0.004035977309457
"New Zealand",0.12014898474108,0.003503843907009
"Nicaragua",0.73587197256555,0.000300124548028
"Nigeria",2.92588828007305,0.001514915681224
"Norway",0.068883569546574,0.045823006642242
"Oman",0.065179488015122,0.024056725862289
"Pakistan",1.16508907460111,0.000377815318281
"Panama",0.27087521206678,0.000204879689839
"Paraguay",0.48150124279375,0.001208979843801
"Peru",0.75703956475973,0.00044437739523
"Philippines",1.10966942048957,0.000254834136361
"Poland",0.048356678863296,0.001867107969965
"Portugal",0.047786071315933,0.000421913277137
"Qatar",0,0.095367656117932
"Romania",0.070223075302544,0.001340226037197
"Russia",0.18054057342016,0.008758698749887
"Saudi Arabia",0.079576989043772,0.02213965133237
"Senegal",0.98038381707442,0.000104380432782
"Serbia",0.078590951561777,0.001096556573482
"Singapore",0.026892564205997,6.775468671e-06
"Slovak Republic",0.072792123892195,0.001179875632753
"Slovenia",0,0.00181952677968
"South Africa",0.55619340136547,0.003284120660682
"Spain",0.095669042108627,0.000674164002695
"Sri Lanka",0.09029197140207,0.0002477254954
"Sudan",1.91440946139583,0.000823217208601
"Sweden",0.046601362623843,0.00359787664049
"Switzerland",0.013780558388226,0.001690749252232
"Syria",0.21686938871635,0.00120615809917
"Tajikistan",1.9394819405191,0.000222377296524
"Tanzania",3.05638620437367,0.000413324728805
"Thailand",0.037877895995487,0.000943237123957
"Togo",1.76262391246105,0.00037013074802
"Trinidad and Tobago",0,0.032103501021757
"Tunisia",0.92914078928065,0.000736968038
"Turkey",0.52370351853102,0.000408588874274
"Turkmenistan",1.14758690485872,0.013909086417604
"Ukraine",0.33134453946379,0.001767466086839
"United Arab Emirates",0.063932487293418,0.030131013757401
"United Kingdom",0.092867631323579,0.002722567883522
"United States",0.036600025824614,0.005579862997973
"Uruguay",0.13901024704107,0.000413863316644
"Uzbekistan",1.13863927184922,0.002313162208795
"Venezuela",0.17543126853515,0.007412662147017
"Vietnam",0.47866269008432,0.000830691957149
"Yemen, Rep.",1.32885180819608,0.000674913790608
"Zambia",2.8167560114145,0.00056819834095
"Zimbabwe",2.10751503854952,0.000685276997397
