"Country","NCD","Energy_Production_per_Person"
"Albania",4.21052631578947,0.000362527216817
"Algeria",1.1869103938639,0.004706747653394
"Angola",6.99131675615311,0.005864105117407
"Argentina",2.80303865639853,0.002086386721477
"Armenia",2.6960472126693,0.000258865371456
"Australia",1.21596240618382,0.013992916970522
"Austria",1.09412074874769,0.001345537165453
"Azerbaijan",1.72590670448374,0.006555938660047
"Bahrain",3.57756153405839,0.016622412123619
"Bangladesh",0.80972934862129,0.000160813647121
"Belarus",3.2604745340325,0.000416531156354
"Belgium",1.24424118102028,0.001371882087879
"Benin",1.87269205334831,0.0002321532603
"Bolivia",2.80836878676946,0.001680905978147
"Bosnia and Herzegovina",2.64827425644607,0.001152223909719
"Botswana",3.43096765995298,0.000530446761905
"Brazil",2.7299119896472,0.001191397585079
"Brunei",1.67202572347267,0.054917269525208
"Bulgaria",2.17358407505744,0.001349447171389
"Cambodia",5.80404096318849,0.000261025965799
"Cameroon",2.33569553321302,0.000495881874608
"Canada",1.37636113903796,0.012184057353176
"Chile",2.34058729634303,0.000539191798706
"China",2.0499362100527,0.001497995339858
"Colombia",1.99135735664459,0.002079636278734
"Congo, Dem. Rep.",3.57372408452339,0.000362710778845
"Congo, Rep.",2.15124276254758,0.003452943548524
"Costa Rica",2.28007847711968,0.00059047319357
"Cote d'Ivoire",1.30355881252857,0.000601209079451
"Croatia",1.20939056201091,0.000895155630324
"Cuba",1.71903189570072,0.000505826222907
"Cyprus",1.31035177905453,7.6948860772e-05
"Czech Rep.",0.769992300077,0.00316256053202
"Denmark",1.20329220747966,0.004842909407361
"Dominican Rep.",2.01179419925238,0.000194718171272
"Ecuador",3.4717400361061,0.002030823789869
"Egypt",2.40585384735632,0.00111700021876
"El Salvador",2.88733753699653,0.000507348406787
"Eritrea",1.90063940585792,0.000110275630968
"Estonia",1.25517760763148,0.003148217964527
"Ethiopia",3.23656925598673,0.000372341011368
"Finland",1.03372309778004,0.003105915655412
"France",1.01498128337266,0.002210556443689
"Gabon",0.78391705651789,0.009315025063607
"Georgia",1.97416337639437,0.000245451884812
"Germany",1.05871434535412,0.001619068047682
"Ghana",0.74552388254033,0.000294805842253
"Greece",1.07788921173493,0.000873416894214
"Guatemala",2.80120708166358,0.000393332961309
"Haiti",1.93276326578423,0.000204309384684
"Honduras",2.46597500285299,0.00028455476039
"Hungary",1.65317754924035,0.001047357353696
"Iceland",1.08154877784988,0.014018708194653
"India",2.75708526063505,0.000393236635946
"Indonesia",1.08632851768767,0.001378172511551
"Iran",2.54239853105863,0.004769087429561
"Iraq",0.92684786983878,0.003955705711546
"Ireland",1.56292962475217,0.000348353475618
"Israel",1.65127383981929,0.000549924820129
"Italy",1.29694083165415,0.000450335597824
"Jamaica",3.72137404580153,0.000181491110113
"Japan",1.37732253914827,0.000700872285069
"Jordan",2.19867060090623,4.7101087511e-05
"Kazakhstan",4.52893192141087,0.009084521867771
"Kenya",2.95292710226767,0.000393453557051
"Korea, Dem. Rep.",2.05085885445321,0.000862664643262
"Korea, Rep.",1.57417555046329,0.000937088488652
"Kuwait",2.98281973309574,0.060153133536157
"Kyrgyzstan",1.26391764578708,0.000228701232719
"Latvia",2.16178823122487,0.000787664923974
"Lebanon",2.09290686564448,3.9791068452e-05
"Libya",3.01849252531309,0.016349233123348
"Lithuania",1.94168576521518,0.001146803722485
"Luxembourg",0.73367571533382,0.000208005242604
"Macedonia, FYR",1.79831857213505,0.000791222416888
"Malaysia",1.61813767064451,0.003385857389031
"Malta",2.17391304347826,2.191107053e-06
"Mexico",4.31896282411746,0.00210930015033
"Moldova",3.85034831185596,2.7942875205e-05
"Mongolia",4.37165075144043,0.001914705447926
"Morocco",0.90030025477569,2.0217165532e-05
"Mozambique",2.21449197317966,0.000516198836694
"Myanmar",2.05844452594974,0.00048660132742
"Namibia",0.52774041980899,0.000147017253963
"Nepal",0.7543735214894,0.00029900930478
"Netherlands",1.09145530976798,0.004035977309457
"New Zealand",0.84104289318755,0.003503843907009
"Nicaragua",2.73630063585054,0.000300124548028
"Nigeria",2.39767893133162,0.001514915681224
"Norway",0.94714908126539,0.045823006642242
"Oman",2.08574361648389,0.024056725862289
"Pakistan",2.44391392731141,0.000377815318281
"Panama",3.70671342828222,0.000204879689839
"Paraguay",2.24483687518707,0.001208979843801
"Peru",2.95426068764153,0.00044437739523
"Philippines",2.88174126409282,0.000254834136361
"Poland",1.61457577760226,0.001867107969965
"Portugal",1.08952242600327,0.000421913277137
"Qatar",2.33660457974498,0.095367656117932
"Romania",1.80239226609864,0.001340226037197
"Russia",2.39038307603605,0.008758698749887
"Saudi Arabia",3.59789578123439,0.02213965133237
"Senegal",1.8544353329477,0.000104380432782
"Serbia",1.37970781630675,0.001096556573482
"Singapore",0.99502487562189,6.775468671e-06
"Slovak Republic",2.1655656857928,0.001179875632753
"Slovenia",0.56488471216556,0.00181952677968
"South Africa",2.42361045570291,0.003284120660682
"Spain",1.30272738190471,0.000674164002695
"Sri Lanka",2.42967486681934,0.0002477254954
"Sudan",2.14821279344054,0.000823217208601
"Sweden",1.08115161287316,0.00359787664049
"Switzerland",1.00598076234049,0.001690749252232
"Syria",2.97517692645247,0.00120615809917
"Tajikistan",2.35434438768896,0.000222377296524
"Tanzania",1.8336059090886,0.000413324728805
"Thailand",1.55606491657137,0.000943237123957
"Togo",1.24088723437258,0.00037013074802
"Trinidad and Tobago",4.49881211140879,0.032103501021757
"Tunisia",2.85466281969778,0.000736968038
"Turkey",2.64448023167576,0.000408588874274
"Turkmenistan",1.60842889027443,0.013909086417604
"Ukraine",3.89111844041357,0.001767466086839
"United Arab Emirates",1.47044720774862,0.030131013757401
"United Kingdom",1.47646074727487,0.002722567883522
"United States",1.66586949840233,0.005579862997973
"Uruguay",3.35610453570577,0.000413863316644
"Uzbekistan",1.06272998705927,0.002313162208795
"Venezuela",2.56296729459922,0.007412662147017
"Vietnam",1.49958660949493,0.000830691957149
"Yemen, Rep.",1.62086817529967,0.000674913790608
"Zambia",2.67665558152739,0.00056819834095
"Zimbabwe",1.50915021604677,0.000685276997397
